"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 08 11:34:35 UTC 2022","Tue Nov 08 11:34:43 UTC 2022","7431","","Edit Profile: [VS-714] User is able to change ""Languages""","","Edit Profile: [VS-714] User is able to change ""Languages""","Should go to ""View Profile"" and verify that ""Languages"" is changed.","Should go to ""View Profile"" and verify that ""Languages"" is changed.",""
"passed","Tue Nov 08 12:03:20 UTC 2022","Tue Nov 08 12:03:28 UTC 2022","8241","","Edit Profile: [VS-717] User is able to change ""Height""","","Edit Profile: [VS-717] User is able to change ""Height""","Should go to ""View Profile"" and verify that ""Height"" is changed.","Should go to ""View Profile"" and verify that ""Height"" is changed.",""
"passed","Tue Nov 08 11:49:45 UTC 2022","Tue Nov 08 11:49:53 UTC 2022","8272","","Edit Profile: [VS-717] User is able to change ""Height""","","Edit Profile: [VS-717] User is able to change ""Height""","Should go to ""View Profile"" and verify that ""Height"" is changed.","Should go to ""View Profile"" and verify that ""Height"" is changed.",""
"passed","Tue Nov 08 12:40:52 UTC 2022","Tue Nov 08 12:41:14 UTC 2022","22213","","Edit Profile: [VS-725] User is able to change ""Children""","","Edit Profile: [VS-725] User is able to change ""Children""","Should go to ""Edit Profile"" page and change ""Children"".","Should go to ""Edit Profile"" page and change ""Children"".",""
"passed","Tue Nov 08 11:36:31 UTC 2022","Tue Nov 08 11:36:56 UTC 2022","25429","","Edit Profile: [VS-712] User is able to change ""Location""","","Edit Profile: [VS-712] User is able to change ""Location""","Should go to account.","Should go to account.",""
"passed","Tue Nov 08 12:15:47 UTC 2022","Tue Nov 08 12:16:15 UTC 2022","28340","","Edit Profile: [VS-721] User is able to change ""Smoke""","","Edit Profile: [VS-721] User is able to change ""Smoke""","Should go to account.","Should go to account.",""
"passed","Tue Nov 08 12:21:28 UTC 2022","Tue Nov 08 12:21:37 UTC 2022","9033","","Edit Profile: [VS-722] User is able to change ""Drinking""","","Edit Profile: [VS-722] User is able to change ""Drinking""","Should go to ""View Profile"" and verify that ""Drinking"" is changed.","Should go to ""View Profile"" and verify that ""Drinking"" is changed.",""
"passed","Tue Nov 08 11:46:37 UTC 2022","Tue Nov 08 11:47:05 UTC 2022","27640","","Edit Profile: [VS-714] User is able to change ""Languages""","","Edit Profile: [VS-714] User is able to change ""Languages""","Should go to account.","Should go to account.",""
"passed","Tue Nov 08 12:02:31 UTC 2022","Tue Nov 08 12:02:58 UTC 2022","26901","","Edit Profile: [VS-717] User is able to change ""Height""","","Edit Profile: [VS-717] User is able to change ""Height""","Should go to account.","Should go to account.",""
"passed","Tue Nov 08 11:11:14 UTC 2022","Tue Nov 08 11:11:26 UTC 2022","12093","","Log In: [VS-653] Log in with phone number: Log in with an account with ""Blocked"" status","","Log In: [VS-653] Log in with phone number: Log in with an account with ""Blocked"" status","Should open login page","Should open login page",""
"passed","Tue Nov 08 11:17:58 UTC 2022","Tue Nov 08 11:18:04 UTC 2022","5659","","Edit Profile: [VS-684] User is able to add/edit ""Occupation""","","Edit Profile: [VS-684] User is able to add/edit ""Occupation""","Should go to ""Edit Profile"" page and add/edit ""Occupation"".","Should go to ""Edit Profile"" page and add/edit ""Occupation"".",""
"passed","Tue Nov 08 11:11:26 UTC 2022","Tue Nov 08 11:11:38 UTC 2022","11806","","Log In: [VS-653] Log in with phone number: Log in with an account with ""Blocked"" status","","Log In: [VS-653] Log in with phone number: Log in with an account with ""Blocked"" status","Should receive alert after login try.","Should receive alert after login try.",""
"passed","Tue Nov 08 11:39:44 UTC 2022","Tue Nov 08 11:39:51 UTC 2022","6684","","Edit Profile: [VS-715] User is able to add/change ""University/School""","","Edit Profile: [VS-715] User is able to add/change ""University/School""","Should go to ""View Profile"" and verify that ""University/School"" is changed.","Should go to ""View Profile"" and verify that ""University/School"" is changed.",""
"passed","Tue Nov 08 12:40:26 UTC 2022","Tue Nov 08 12:40:52 UTC 2022","26280","","Edit Profile: [VS-725] User is able to change ""Children""","","Edit Profile: [VS-725] User is able to change ""Children""","Should go to account.","Should go to account.",""
"passed","Tue Nov 08 12:13:50 UTC 2022","Tue Nov 08 12:13:58 UTC 2022","8296","","Edit Profile: [VS-722] User is able to change ""Drinking""","","Edit Profile: [VS-722] User is able to change ""Drinking""","Should go to ""View Profile"" and verify that ""Drinking"" is changed.","Should go to ""View Profile"" and verify that ""Drinking"" is changed.",""
"passed","Tue Nov 08 11:04:50 UTC 2022","Tue Nov 08 11:04:54 UTC 2022","4077","","Log In: [VS-651] Log in with phone number: Log in with an account with ""Active"" status","","Log In: [VS-651] Log in with phone number: Log in with an account with ""Active"" status","Should open login page","Should open login page",""
"failed","Tue Nov 08 12:56:25 UTC 2022","Tue Nov 08 12:57:21 UTC 2022","56499","","Members: [VS-2569] User is able to filter members","","Members: [VS-2569] User is able to filter members","Should filter users by age.","Should filter users by age.",""
"passed","Tue Nov 08 11:51:44 UTC 2022","Tue Nov 08 11:52:16 UTC 2022","31371","","Edit Profile: [VS-715] User is able to add/change ""University/School""","","Edit Profile: [VS-715] User is able to add/change ""University/School""","Should go to account.","Should go to account.",""
"passed","Tue Nov 08 10:53:53 UTC 2022","Tue Nov 08 10:53:57 UTC 2022","3800","","Log In: [VS-651] Log in with phone number: Log in with an account with ""Active"" status","","Log In: [VS-651] Log in with phone number: Log in with an account with ""Active"" status","Should open login page","Should open login page",""
"passed","Tue Nov 08 10:56:25 UTC 2022","Tue Nov 08 10:56:35 UTC 2022","10085","","Log In: [VS-650] Log in with phone number: Log in with an account with ""Pending"" status","","Log In: [VS-650] Log in with phone number: Log in with an account with ""Pending"" status","Should open login page","Should open login page",""
"passed","Tue Nov 08 11:07:19 UTC 2022","Tue Nov 08 11:07:22 UTC 2022","2762","","Edit Profile: [VS-673] User is able to see profile preview","","Edit Profile: [VS-673] User is able to see profile preview","Should open ""Preview"" link.","Should open ""Preview"" link.",""
